Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
GPT,KonIQ,200.0,,,,,0.4428969359331476,,
Phi,KonIQ,200.0,,,,,0.2590529247910863,,
GPT,LogoDet-3K,200.0,,,,,0.7047353760445683,,
Ensemble_AllProba,LogoDet-3K,200.0,64.0,0.01,14.0,0.1,0.6267409470752089,,
Phi,LogoDet-3K,200.0,,,,,0.5013927576601671,,
Xception,LogoDet-3K,200.0,16.0,0.001,11.0,145.33,0.4651810526847839,,
Ensemble_Descriptions,LogoDet-3K,200.0,64.0,0.001,13.0,0.18,0.4623955431754875,True,True
ResNet,LogoDet-3K,200.0,16.0,0.001,4.0,60.4239,0.4428969359331476,,
Inception,LogoDet-3K,200.0,64.0,0.001,13.0,92.86,0.4401114284992218,,
ConvNeXtBase,LogoDet-3K,200.0,16.0,1e-05,12.0,206.2977,0.426183844011142,,
VGG19,LogoDet-3K,200.0,16.0,0.001,5.0,86.73,0.4233983159065246,,
ViT,LogoDet-3K,200.0,16.0,1e-05,32.0,222.5833,0.4011142061281337,,
Full-NN-Training,LogoDet-3K,200.0,16.0,0.001,3.0,13.48,0.3454038997214484,,
GPT,StoreItemColor,200.0,,,,,0.8272980501392758,,
Ensemble_AllProba,StoreItemColor,200.0,32.0,0.01,13.0,0.15,0.7493036211699164,,
Phi,StoreItemColor,200.0,,,,,0.7158774373259053,,
Ensemble_Descriptions,StoreItemColor,200.0,16.0,0.01,12.0,0.7,0.6991643454038997,False,True
ConvNeXtBase,StoreItemColor,200.0,32.0,0.001,11.0,175.2099,0.6629526462395543,,
ViT,StoreItemColor,200.0,64.0,0.001,8.0,70.2153,0.5598885793871866,,
ResNet,StoreItemColor,200.0,64.0,0.001,8.0,76.801,0.5515320334261838,,
Xception,StoreItemColor,200.0,32.0,0.01,6.0,91.03,0.3676880300045013,,
Inception,StoreItemColor,200.0,32.0,0.001,13.0,90.07,0.3509749174118042,,
VGG19,StoreItemColor,200.0,16.0,1e-05,32.0,549.21,0.3398328721523285,,
Full-NN-Training,StoreItemColor,200.0,64.0,1e-05,4.0,5.21,0.309192200557103,,
GPT,UnBiasedEmo,200.0,,,,,0.9136490250696379,,
Ensemble_AllProba,UnBiasedEmo,200.0,16.0,0.01,12.0,0.47,0.8662952646239555,,
Phi,UnBiasedEmo,200.0,,,,,0.8356545961002786,,
Ensemble_Descriptions,UnBiasedEmo,200.0,32.0,0.001,13.0,0.38,0.7743732590529248,True,False
ConvNeXtBase,UnBiasedEmo,200.0,16.0,1e-05,32.0,556.9646,0.6323119777158774,,
ViT,UnBiasedEmo,200.0,16.0,1e-05,32.0,373.1744,0.5403899721448467,,
Xception,UnBiasedEmo,200.0,16.0,0.001,15.0,203.33,0.4958217144012451,,
VGG19,UnBiasedEmo,200.0,16.0,0.001,7.0,125.16,0.4930362105369568,,
Inception,UnBiasedEmo,200.0,16.0,0.01,10.0,77.88,0.4902507066726684,,
ResNet,UnBiasedEmo,200.0,16.0,0.001,2.0,76.2124,0.4707520891364902,,
Full-NN-Training,UnBiasedEmo,200.0,32.0,1e-05,2.0,39.29,0.3509749303621169,,
GPT,Unsplash-Images,200.0,,,,,0.6518105849582173,,
Ensemble_AllProba,Unsplash-Images,200.0,32.0,0.001,32.0,0.35,0.5487465181058496,,
Phi,Unsplash-Images,200.0,,,,,0.5264623955431755,,
Ensemble_Descriptions,Unsplash-Images,200.0,16.0,0.01,11.0,0.53,0.4651810584958217,True,False
Xception,Unsplash-Images,200.0,32.0,0.01,5.0,78.15,0.4373258948326111,,
Inception,Unsplash-Images,200.0,16.0,0.001,20.0,143.71,0.4289693534374237,,
ConvNeXtBase,Unsplash-Images,200.0,64.0,0.001,3.0,77.4864,0.3955431754874652,,
ResNet,Unsplash-Images,200.0,32.0,0.001,5.0,67.7377,0.362116991643454,,
ViT,Unsplash-Images,200.0,64.0,0.001,6.0,67.2653,0.3314763231197771,,
VGG19,Unsplash-Images,200.0,32.0,0.001,18.0,317.11,0.2256267368793487,,
Full-NN-Training,Unsplash-Images,200.0,32.0,1e-05,3.0,16.61,0.1253481894150417,,
Ensemble_AllProba,good-bad,200.0,16.0,1e-05,32.0,0.62,0.958217270194986,,
ViT,good-bad,200.0,16.0,1e-05,19.0,159.5978,0.9554317548746518,,
Ensemble_Descriptions,good-bad,200.0,16.0,1e-05,32.0,0.92,0.9526462395543176,True,False
ConvNeXtBase,good-bad,200.0,16.0,1e-05,10.0,180.9846,0.9498607242339832,,
GPT,good-bad,200.0,,,,,0.935933147632312,,
Phi,good-bad,200.0,,,,,0.9220055710306406,,
Inception,good-bad,200.0,16.0,0.001,32.0,234.37,0.8830083608627319,,
Xception,good-bad,200.0,32.0,0.01,16.0,245.82,0.8774373531341553,,
VGG19,good-bad,200.0,16.0,0.01,10.0,176.83,0.835654616355896,,
ResNet,good-bad,200.0,16.0,0.001,6.0,85.4815,0.807799442896936,,
Full-NN-Training,good-bad,200.0,16.0,1e-05,5.0,25.34,0.713091922005571,,
Ensemble_Descriptions,intel-sceneries,200.0,32.0,0.001,11.0,0.13,0.9275766016713092,False,True
Ensemble_AllProba,intel-sceneries,200.0,16.0,0.01,11.0,0.24,0.924791086350975,,
GPT,intel-sceneries,200.0,,,,,0.924791086350975,,
ConvNeXtBase,intel-sceneries,200.0,16.0,1e-05,16.0,238.7577,0.9164345403899722,,
ViT,intel-sceneries,200.0,16.0,1e-05,32.0,228.5424,0.8857938718662952,,
Inception,intel-sceneries,200.0,32.0,0.001,17.0,121.35,0.8718662858009338,,
Xception,intel-sceneries,200.0,32.0,0.001,32.0,458.86,0.8635097742080688,,
Phi,intel-sceneries,200.0,,,,,0.8523676880222841,,
ResNet,intel-sceneries,200.0,16.0,0.001,7.0,79.7912,0.8050139275766016,,
VGG19,intel-sceneries,200.0,32.0,0.001,12.0,211.32,0.7688022255897522,,
Full-NN-Training,intel-sceneries,200.0,32.0,1e-05,5.0,16.63,0.4930362116991643,,
Ensemble_AllProba,sentiment,200.0,16.0,0.01,14.0,0.28,0.6685236768802229,,
Ensemble_Descriptions,sentiment,200.0,32.0,0.001,16.0,0.36,0.637883008356546,True,False
Phi,sentiment,200.0,,,,,0.6350974930362117,,
Inception,sentiment,200.0,64.0,0.001,10.0,73.65,0.5988857746124268,,
ResNet,sentiment,200.0,16.0,0.001,3.0,60.8885,0.5933147632311978,,
VGG19,sentiment,200.0,64.0,1e-05,29.0,490.52,0.5877437591552734,,
ConvNeXtBase,sentiment,200.0,16.0,0.01,1.0,64.681,0.5877437325905293,,
Full-NN-Training,sentiment,200.0,16.0,0.01,1.0,28.23,0.5877437325905293,,
ViT,sentiment,200.0,16.0,0.01,11.0,106.563,0.5877437325905293,,
Xception,sentiment,200.0,16.0,0.001,8.0,108.0,0.5849581956863403,,
GPT,sentiment,200.0,,,,,0.5403899721448467,,
