Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
Inception,FashionImages,1000.0,64.0,0.001,24.0,385.52,0.8823529481887817,,
Xception,FashionImages,1000.0,16.0,0.001,15.0,476.12,0.8795518279075623,,
VGG19,FashionImages,1000.0,16.0,0.001,5.0,210.76,0.8683473467826843,,
Phi,FashionImages,1000.0,,,,,0.7591036414565826,,
Full-NN-Training,FashionImages,1000.0,32.0,1e-05,3.0,27.09,0.4957983193277311,,
ViT,GenImgNet,1000.0,32.0,1e-05,16.0,376.5307,0.5766016713091922,,
Ensemble_AllProba,GenImgNet,1000.0,32.0,1e-05,32.0,6.11,0.5571030640668524,,
ResNet,GenImgNet,1000.0,64.0,0.001,4.0,158.1544,0.5543175487465181,,
Ensemble_Descriptions,GenImgNet,1000.0,16.0,1e-05,15.0,1.07,0.5515320334261838,False,False
VGG19,GenImgNet,1000.0,64.0,0.001,7.0,295.73,0.5515320301055908,,
Inception,GenImgNet,1000.0,16.0,0.01,5.0,89.81,0.5320334434509277,,
Xception,GenImgNet,1000.0,32.0,0.01,5.0,176.79,0.5320334434509277,,
ConvNeXtBase,GenImgNet,1000.0,16.0,1e-05,4.0,285.8723,0.5292479108635098,,
Full-NN-Training,GenImgNet,1000.0,16.0,1e-05,2.0,262.33,0.415041782729805,,
Phi,GenImgNet,1000.0,,,,,0.3426183844011142,,
GPT,GenImgNet,1000.0,,,,,0.3342618384401114,,
ConvNeXtBase,Generated-Ethnicity,1000.0,16.0,1e-05,2.0,163.5779,0.9025069637883008,,
Ensemble_Descriptions,Generated-Ethnicity,1000.0,32.0,0.01,14.0,0.7,0.9025069637883008,False,False
ViT,Generated-Ethnicity,1000.0,64.0,1e-05,15.0,199.8101,0.8997214484679665,,
Ensemble_AllProba,Generated-Ethnicity,1000.0,16.0,0.01,24.0,1.65,0.8969359331476323,,
Xception,Generated-Ethnicity,1000.0,64.0,0.01,9.0,331.42,0.835654616355896,,
ResNet,Generated-Ethnicity,1000.0,16.0,1e-05,23.0,315.1014,0.8356545961002786,,
Inception,Generated-Ethnicity,1000.0,16.0,0.001,15.0,256.64,0.8300835490226746,,
